widget_title,widget_description,url_loc
Emergency Notification Plan,"Who to contact in case of an emergency (Division, Center, Supervisors, Family)",./files/Safety/Accidents/EMERGENCY NOTIFICATION PLAN.pdf
Barcode Sheet (1-120) - Excel,Printable sheet with barcode numbers 1-120,./files/Manuals/Bluetooth_Devices/Barcodes/1-120 bar code numbers.xlsx
Barcode Sheet (1-120) - pdf,Printable sheet with barcode numbers 1-120,./files/Manuals/Bluetooth_Devices/Barcodes/1-120 barcode codes.pdf
Barcode Sheet (120-199) - pdf,Printable sheet with barcode numbers 120-199,./files/Manuals/Bluetooth_Devices/Barcodes/Barcodes_120to199_v05_2017.pdf
Surface Temperature Algorithm (2013),Description of sea surface temperature calculation algorithm and code.,./files/Manuals/Calypso_Wheelhouse/SurfaceTempDocumentation2013.pdf
2023 At-Sea Safety Action Plan,Recommendations for 2023 as recommended by FAST,./files/Safety/2023 at-sea Safety action plan.pdf
2023 Pay Period Calendar,Federal Pay Period Calendar for Timekeeping,./files/Timekeeping/2023 pay periods.pdf
2023 Survey Training Powerpoints and Resources,2023 Survey Training Powerpoints and Resources,./files/Trainings/2023 Training Powerpoints and Resources/
Adobe Acrobat Reader,Adobe Acrobat Reader Installer,./files/Software/PDFs/
Cute PDF Writer,Cute PDF Writer Installer,./files/Software/PDFs/
AED Manual,Automated External Defibrilator User Guide,./files/Safety/UserManual_AED_Hart_350P_Aug2021.pdf
AFSC Code of Conduct,Alaska Fisheries Science Center Code of Conduct,./files/Safety/AFSC Code of Conduct_Jan 2023_FINAL.pdf
2023 AFSC Fieldwork SOPs,General Alaska Fisheries Science Center Safety Standard Operating Procedures for Fieldwork for FY23,./files/COVID SOP/AFSC general fieldwork SOPs FY23.pdf
AFSC Phone & Email lists,AFSC Email and Contact List,./files/Contact lists/AFSC_PHONE_EMAIL.pdf
AFSC Photo Consent Release,AFSC Photo Consent Release,./files/Social Media Policies/NMFS_Individual Release_Fillable.pdf
